country_code,country_name,year,forest_area_sqkm,total_area_sqkm,forest_percetage,region,income_group
ABW,Aruba,2016,4.199999869,180.005,15.651798072964,Latin America & Caribbean,High income
AFG,Afghanistan,2016,13500,652860.005,13.8711744181664,South Asia,Low income
AGO,Angola,2016,577311.9922,1246699.9965,310.633399033367,Sub-Saharan Africa,Lower middle income
ALB,Albania,2016,7705.39978,27399.9985,188.644507641918,Europe & Central Asia,Upper middle income
AND,Andorra,2016,160,470.0073,228.357304237615,Europe & Central Asia,High income
ARE,United Arab Emirates,2016,3236.600037,71020.0015,30.5708761611329,Middle East & North Africa,High income
ARG,Argentina,2016,268151.9922,2736690.0113,65.7286858010764,Latin America & Caribbean,High income
ARM,Armenia,2016,3322.000122,28470.0052,78.2729362423446,Europe & Central Asia,Upper middle income
ASM,American Samoa,2016,175,199.9998,586.959336959337,East Asia & Pacific,Upper middle income
ATG,Antigua and Barbuda,2016,98.00000191,439.9892,149.411352099659,Latin America & Caribbean,High income
AUS,Australia,2016,1250590,7692019.9951,109.062155121074,East Asia & Pacific,High income
AUT,Austria,2016,38708.00049,82522.9944,314.648226200295,Europe & Central Asia,High income
AZE,Azerbaijan,2016,11656.19995,82670.0028,94.5820155271544,Europe & Central Asia,Upper middle income
BDI,Burundi,2016,2806.000061,25680.0054,73.2979947472834,Sub-Saharan Africa,Low income
BEL,Belgium,2016,6838.400269,30280.0008,151.494952551253,Europe & Central Asia,High income
BEN,Benin,2016,42610,112760.0012,253.487174492864,Sub-Saharan Africa,Low income
BFA,Burkina Faso,2016,52902.00195,273600.0113,129.704643502986,Sub-Saharan Africa,Low income
BGD,Bangladesh,2016,14264.00024,130170.0071,73.5072096419544,South Asia,Lower middle income
BGR,Bulgaria,2016,38401.99951,108560.0054,237.292225588846,Europe & Central Asia,Upper middle income
BHR,Bahrain,2016,6.100000143,778.0101,5.2594961118446,Middle East & North Africa,High income
BHS,"Bahamas, The",2016,5150,10009.9874,345.122462391911,Latin America & Caribbean,High income
BIH,Bosnia and Herzegovina,2016,21850,51200.0006,286.273404848359,Europe & Central Asia,Upper middle income
BLR,Belarus,2016,86534.00391,202988.0125,285.967010800045,Europe & Central Asia,Upper middle income
BLZ,Belize,2016,13612.80029,22810.0005,400.333290765816,Latin America & Caribbean,Upper middle income
BMU,Bermuda,2016,10,54.0015,124.220623501199,North America,High income
BOL,Bolivia,2016,544750,1083300.0045,337.324606278999,Latin America & Caribbean,Lower middle income
BRA,Brazil,2016,4925540,8358139.9972,395.315403727011,Latin America & Caribbean,Upper middle income
BRB,Barbados,2016,63.00000191,429.9918,98.2833423364052,Latin America & Caribbean,High income
BRN,Brunei Darussalam,2016,3800,5270.0025,483.695785723062,East Asia & Pacific,High income
BTN,Bhutan,2016,27648.50098,38143.9919,486.23361160041,South Asia,Lower middle income
BWA,Botswana,2016,107377.998,566729.9953,127.097975112912,Sub-Saharan Africa,Upper middle income
CAF,Central African Republic,2016,221544.0039,622980.0038,238.553296012162,Sub-Saharan Africa,Low income
CAN,Canada,2016,3470224.063,9093509.9948,255.991471393575,North America,High income
CHE,Switzerland,2016,12578.00049,39515.9926,213.519842310551,Europe & Central Asia,High income
CHI,Channel Islands,2016,8.000000119,198.0055,27.1026818943231,Europe & Central Asia,High income
CHL,Chile,2016,180358.0078,743532.02,162.71788162172,Latin America & Caribbean,High income
CHN,China,2016,2098635,9388210.0109,149.952476852938,East Asia & Pacific,Upper middle income
CIV,Cote d'Ivoire,2016,104005.9961,317999.9928,219.397056048742,Sub-Saharan Africa,Lower middle income
